energy,danceability,valence,liveness,instrumentalness,acousticness,speechiness,On_chart,Cluster
0.968,0.698,0.39,0.111,0.862,0.0215,0.0337,0,8
0.97,0.7240000000000001,0.4320000000000001,0.106,0.8959999999999999,0.00339,0.0358,0,8
0.406,0.8029999999999999,0.0769,0.0948,0.825,0.00433,0.0608,0,8
0.00267,0.15,0.105,0.125,0.0287,0.91,0.0434,0,2
0.226,0.29,0.47,0.105,1.59e-06,0.768,0.0385,0,2
0.248,0.32,0.768,0.181,0.0585,0.936,0.0499,0,2
0.0526,0.0734,0.23,0.144,2.57e-05,0.746,0.0346,0,2
0.112,0.378,0.5489999999999999,0.471,0.0,0.8590000000000001,0.0345,0,2
0.205,0.297,0.92,0.158,0.7559999999999999,0.971,0.0418,0,4
0.0197,0.16,0.154,0.107,0.211,0.947,0.0384,0,2
0.176,0.256,0.221,0.106,0.00084,0.752,0.0354,0,2
0.188,0.387,0.7,0.298,0.163,0.95,0.0514,0,2
0.116,0.124,0.55,0.0987,0.000407,0.816,0.0389,0,2
0.0118,0.0715,0.0369,0.113,0.0478,0.933,0.0439,0,2
0.253,0.276,0.589,0.306,0.00395,0.92,0.0361,0,2
0.14,0.222,0.5660000000000001,0.3670000000000001,0.0,0.914,0.0487,0,2
0.122,0.209,0.5760000000000001,0.223,0.747,0.722,0.038,0,4
0.328,0.452,0.895,0.0671,0.908,0.908,0.0391,0,4
0.0235,0.208,0.226,0.311,3.2500000000000004e-05,0.921,0.0384,0,2
0.00111,0.228,0.183,0.188,0.00103,0.97,0.0421,0,2
0.0577,0.0612,0.0643,0.101,0.266,0.732,0.0436,0,2
0.0327,0.271,0.077,0.0769,0.0573,0.212,0.0397,0,9
0.0363,0.155,0.1369999999999999,0.107,0.275,0.7070000000000001,0.0427,0,2
0.351,0.0776,0.12,0.0877,0.6759999999999999,0.757,0.0328,0,4
0.00347,0.239,0.279,0.0967,0.878,0.7659999999999999,0.0455,0,4
0.0477,0.179,0.1639999999999999,0.0878,0.8009999999999999,0.954,0.0405,0,4
0.296,0.157,0.0944,0.0729,0.883,0.795,0.0374,0,4
0.243,0.185,0.0412,0.165,0.951,0.78,0.0364,0,4
0.0274,0.204,0.366,0.124,0.775,0.916,0.0401,0,4
0.0106,0.174,0.327,0.1639999999999999,0.601,0.889,0.0408,0,4
0.174,0.185,0.152,0.0854,0.0688,0.6609999999999999,0.0402,0,2
0.0324,0.204,0.435,0.428,0.902,0.846,0.0485,0,4
0.0405,0.183,0.312,0.225,0.708,0.895,0.035,0,4
0.267,0.182,0.194,0.195,0.0477,0.345,0.0497,0,2
0.0007019999999999,0.154,0.37,0.142,0.958,0.868,0.0472,0,4
0.238,0.201,0.0762,0.106,0.6990000000000001,0.212,0.0413,0,8
0.0118,0.159,0.225,0.227,0.59,0.919,0.0396,0,4
0.162,0.222,0.351,0.177,0.909,0.872,0.0391,0,4
0.00667,0.184,0.153,0.112,0.951,0.782,0.0396,0,4
0.00997,0.218,0.13,0.112,0.79,0.894,0.0449,0,4
0.0129,0.172,0.192,0.071,0.983,0.95,0.0487,0,4
0.00654,0.148,0.166,0.039,0.905,0.97,0.0449,0,4
0.00104,0.185,0.0,0.114,0.906,0.454,0.0417,0,4
0.00268,0.16,0.291,0.321,0.838,0.752,0.0557,0,4
0.00399,0.215,0.123,0.243,0.951,0.949,0.045,0,4
0.0065099999999999,0.0611,0.282,0.201,0.774,0.0631,0.0486,0,8
0.112,0.154,0.239,0.206,0.967,0.926,0.038,0,4
0.0137,0.1639999999999999,0.297,0.0465,0.0,0.325,0.0511,0,2
0.208,0.203,0.34,0.26,0.0417,0.291,0.0317,0,2
0.00132,0.0878,0.499,0.129,0.922,0.954,0.0493,0,4
0.171,0.0645,0.0732,0.203,0.82,0.8029999999999999,0.0378,0,4
0.182,0.163,0.172,0.144,0.905,0.6709999999999999,0.0371,0,4
0.00532,0.166,0.32,0.0687,0.8420000000000001,0.943,0.0442,0,4
0.209,0.23,0.172,0.276,0.8240000000000001,0.469,0.0366,0,4
0.0417,0.1639999999999999,0.456,0.212,0.1639999999999999,0.285,0.0419,0,2
0.0562,0.101,0.4320000000000001,0.102,0.871,0.931,0.038,0,4
0.0282,0.17,0.134,0.112,0.929,0.931,0.0409,0,4
0.0080299999999999,0.165,0.22,0.0598,0.904,0.878,0.0424,0,4
0.0153,0.0569,0.135,0.241,0.932,0.7829999999999999,0.0533,0,4
0.184,0.173,0.278,0.083,0.984,0.852,0.0367,0,4
0.0446,0.122,0.159,0.103,0.981,0.907,0.0418,0,4
0.0127,0.154,0.122,0.1369999999999999,0.969,0.82,0.045,0,4
0.0132,0.205,0.314,0.0802,0.0576,0.8540000000000001,0.0483,0,2
0.139,0.15,0.122,0.15,0.879,0.853,0.0372,0,4
0.0631,0.113,0.347,0.103,0.907,0.8859999999999999,0.0393,0,4
0.00965,0.1669999999999999,0.335,0.112,0.992,0.867,0.0445,0,4
0.0403,0.441,0.561,0.226,0.873,0.994,0.0471,0,4
0.0274,0.161,0.0795,0.119,0.889,0.963,0.0394,0,4
0.102,0.301,0.0971,0.0643,0.898,0.963,0.0351,0,4
0.0997,0.298,0.0877,0.1,0.906,0.953,0.038,0,4
0.0218,0.132,0.0386,0.0878,0.929,0.979,0.0461,0,4
0.187,0.346,0.312,0.0923,0.888,0.961,0.0355,0,4
0.13,0.34,0.201,0.226,0.787,0.948,0.0335,0,4
0.101,0.187,0.0618,0.0552,0.94,0.963,0.0394,0,4
0.00233,0.298,0.0745,0.0883,0.677,0.979,0.0532,0,4
0.14,0.325,0.177,0.207,0.925,0.954,0.0384,0,4
0.0552,0.274,0.0887,0.116,0.903,0.958,0.0406,0,4
0.11,0.292,0.139,0.0843,0.91,0.946,0.0343,0,4
0.187,0.416,0.5479999999999999,0.0867,0.924,0.97,0.0362,0,4
0.853,0.784,0.963,0.0678,1.64e-05,0.221,0.037,0,5
0.615,0.774,0.89,0.0622,0.0,0.154,0.0314,0,5
0.57,0.63,0.732,0.0672,0.0,0.428,0.0271,0,0
0.899,0.762,0.919,0.0956,0.000162,0.341,0.0463,0,5
0.653,0.679,0.6729999999999999,0.0694,0.0,0.6970000000000001,0.0288,0,0
0.8340000000000001,0.677,0.757,0.0851,0.0,0.332,0.037,0,5
0.65,0.6729999999999999,0.8220000000000001,0.112,0.0,0.408,0.0345,0,0
0.787,0.723,0.743,0.0656,0.000203,0.53,0.0503,0,0
0.627,0.8,0.872,0.299,3.72e-05,0.203,0.0457,0,5
0.608,0.847,0.866,0.0458,0.000553,0.3229999999999999,0.0502,0,5
0.662,0.7140000000000001,0.7170000000000001,0.0861,1.91e-05,0.59,0.036,0,0
0.594,0.795,0.861,0.0848,1.27e-06,0.496,0.0486,0,0
0.7879999999999999,0.784,0.72,0.185,2.59e-05,0.362,0.0437,0,5
0.902,0.8440000000000001,0.823,0.129,0.0,0.297,0.0545,0,5
0.6459999999999999,0.7909999999999999,0.8079999999999999,0.196,0.0,0.11,0.0349,0,5
0.462,0.614,0.626,0.086,0.0,0.52,0.0325,0,0
0.787,0.7709999999999999,0.89,0.182,0.0,0.307,0.0407,0,5
0.639,0.862,0.67,0.0508,0.00197,0.261,0.0962,0,5
0.535,0.7909999999999999,0.763,0.0649,1.14e-06,0.322,0.0307,0,5
0.5710000000000001,0.875,0.76,0.183,2.19e-05,0.0792,0.067,0,5
0.6829999999999999,0.807,0.913,0.0995,0.00224,0.732,0.0469,0,0
0.5710000000000001,0.544,0.6759999999999999,0.0547,8.85e-06,0.5820000000000001,0.0529,0,0
0.451,0.514,0.7809999999999999,0.0301,0.0,0.147,0.0492,0,5
0.7879999999999999,0.784,0.72,0.185,2.59e-05,0.362,0.0437,0,5
0.687,0.778,0.765,0.0276,0.0,0.657,0.0368,0,0
0.464,0.773,0.7829999999999999,0.19,0.0,0.0875,0.0394,0,5
0.411,0.608,0.6629999999999999,0.344,2.53e-05,0.55,0.039,0,0
0.715,0.7390000000000001,0.8079999999999999,0.0915,0.00201,0.248,0.0566,0,5
0.775,0.463,0.813,0.0915,1.65e-05,0.491,0.0308,0,0
0.6409999999999999,0.494,0.622,0.046,0.0,0.407,0.0268,0,0
0.698,0.7909999999999999,0.511,0.214,0.0,0.258,0.264,0,9
0.878,0.688,0.935,0.301,0.0,0.322,0.194,0,5
0.942,0.669,0.693,0.0816,0.0,0.453,0.341,0,0
0.762,0.7609999999999999,0.598,0.114,1.73e-06,0.443,0.272,0,0
0.47,0.797,0.895,0.039,0.0,0.0067,0.295,0,5
0.773,0.921,0.888,0.0798,0.0,0.402,0.224,0,5
0.51,0.621,0.242,0.205,1.56e-06,0.0262,0.258,0,9
0.7170000000000001,0.812,0.755,0.444,1.52e-05,0.00266,0.103,0,5
0.153,0.579,0.69,0.103,0.655,0.0944,0.053,0,1
0.0889,0.28,0.138,0.138,3.5700000000000014e-05,0.897,0.0407,0,2
0.219,0.198,0.325,0.209,0.959,0.178,0.036,0,8
0.0114,0.0636,0.0393,0.101,0.976,0.723,0.0488,0,4
0.26,0.1669999999999999,0.122,0.0944,0.916,0.203,0.0375,0,8
0.0559,0.172,0.3229999999999999,0.0782,0.255,0.813,0.0375,0,2
0.00622,0.1639999999999999,0.0387,0.132,0.913,0.597,0.0415,0,4
0.0044,0.0679,0.0366,0.104,0.915,0.907,0.0401,0,4
0.00351,0.124,0.0387,0.103,0.986,0.9,0.042,0,4
0.172,0.424,0.8440000000000001,0.166,0.122,0.872,0.0438,0,2
0.0423,0.165,0.212,0.115,0.49,0.7929999999999999,0.0373,0,4
