Cluster,Cluster_Size,On_chart_ratio,duration_ms,time_signature,tempo,key,mode,loudness
0,5785,0.516,0.039,0.789,0.485,0.646,1.0,0.808
1,4232,0.459,0.039,0.796,0.485,0.484,0.0,0.815
2,2875,0.447,0.038,0.79,0.479,0.107,0.0,0.803
3,3295,0.602,0.039,0.786,0.484,0.396,1.0,0.801
4,4283,0.58,0.038,0.786,0.488,0.89,1.0,0.806
5,4802,0.44,0.039,0.795,0.489,0.889,0.0,0.812
6,4234,0.535,0.039,0.79,0.584,0.09,1.0,0.828
7,372,0.048,0.03,0.443,0.353,0.627,0.0,0.599
8,4576,0.505,0.039,0.787,0.403,0.088,1.0,0.783
9,286,0.136,0.028,0.149,0.323,0.352,1.0,0.685
